model,epoch,train_loss,val_loss,encoder_best_method,encoder_best_f1,encoder_best_auc,encoder_best_accuracy,projected_best_method,projected_best_f1,projected_best_auc,projected_best_accuracy
epoch_001,1,2.109398354274562,unknown,knn,0.87374749498998,0.7758890141422423,0.803125,mahalanobis,0.9989484752891693,1.0,0.9984375
epoch_002,2,0.860291253825418,unknown,mahalanobis,0.8852459016393442,0.7962184873949579,0.846875,mahalanobis,0.9957805907172996,0.9936974789915967,0.99375
epoch_003,3,0.637092698903333,unknown,mahalanobis,0.9572836801752465,0.9201680672268907,0.9390625,mahalanobis,0.9989484752891693,1.0,0.9984375
epoch_004,4,0.6554416189771166,unknown,mahalanobis,0.9989484752891693,1.0,0.9984375,mahalanobis,0.9989484752891693,1.0,0.9984375
epoch_005,5,0.7043578805325528,unknown,mahalanobis,0.729381443298969,0.7782588645214183,0.671875,mahalanobis,0.9893842887473461,0.9904053084648493,0.984375
